name,Latitude,Longitude
Mott Hall Community School,40.826526,-73.818417
Blueprint Middle School,40.829232,-73.856734
P.S./M.S. 004 Crotona Park West,40.840891,-73.898166
J.H.S. 022 Jordan L. Mott,40.833131,-73.914027
I.S. 117 Joseph H. Wade,40.848547,-73.908416
Mott Hall III,40.835286,-73.900751
Kappa,40.833511,-73.90449
P.S./I.S. 218 Rafael Hernandez Dual Language Magnet School,40.835847,-73.920026
I.S. 219 New Venture School,40.833511,-73.90449
I.S. 229 Roland Patterson,40.852536,-73.921467
Eagle Academy for Young Men,40.844958,-73.89705
I.S. 232,40.849532,-73.916077
The Urban Assembly School for Applied Math and Science,40.839244,-73.901316
I.S. X303 Leadership & Community Service,40.849532,-73.916077
Bronx Writing Academy,40.833131,-73.914027
Bronx Early College Academy for Teaching & Learning,40.828696,-73.917668
Comprehensive Model School Project M.S. 327,40.842495,-73.916082
New Millennium Bronx Academy of the Arts,40.827941,-73.914374
I.S. 339,40.840878,-73.904754
The Highbridge Green School,40.838224,-73.927891
Bronx School for Medical Science,40.840422,-73.91091
Science and Technology Academy: A Mott Hall School,40.828696,-73.917668
"Bronx School for Law, Government and Justice",40.827607,-73.918681
Young Women's Leadership School of the Bronx,40.848547,-73.908416
South Bronx International Middle School,40.827941,-73.914374
New Pathways Academy,40.827941,-73.914374
P.S. 3 Raul Julia Micro Society,40.849897,-73.892289
P.S. X015 Institute for Environmental Learning,40.85881,-73.909746
"PS/MS 20 P.O.George J. Werdann, III",40.870002,-73.878875
P.S. X037 - Multiple Intelligence School,40.880263,-73.910466
Thomas C. Giordano Middle School 45,40.858692,-73.887214
J.H.S. 080 The Mosholu Parkway,40.876299,-73.881532
P.S. 086 Kingsbridge Heights,40.869835,-73.89874
P.S. 095 Sheila Mencher,40.882898,-73.891256
J.H.S. 118 William W. Niles,40.848339,-73.89308
Riverdale / Kingsbridge Academy,40.888338,-73.913486
I.S. 206 Ann Mersereau,40.859686,-73.906495
Theatre Arts Production Company School,40.854515,-73.896703
Jonas Bronck Academy,40.8609,-73.891931
West Bronx Academy for the Future,40.860043,-73.888267
The New School for Leadership and Journalism,40.875916,-73.90111
I.S. 254,40.858815,-73.890232
"P.S. 279 Captain Manuel Rivera, Jr.",40.854432,-73.905566
P.S./M.S. 280 Mosholu Parkway,40.877202,-73.881773
Bronx Dance Academy School,40.885116,-73.877679
P.S. 315 Lab School,40.873239,-73.899722
The Bronx School of Young Leaders,40.851823,-73.91118
International School for Liberal Arts,40.870293,-73.898309
Academy For Personal Leadership And Excellence,40.859752,-73.900161
In-Tech Academy,40.879368,-73.909896
M.S. 390,40.854701,-73.913197
The Angelo Patri Middle School,40.854515,-73.896703
Creston Academy,40.854872,-73.903458
P.S. 019 Judith K. Weiss,40.899295,-73.8675
P.S./M.S. 083 Donald Hertz,40.849395,-73.859249
P.S. /M.S. 089 Bronx,40.863055,-73.859387
J.H.S. 127 The Castle Hill,40.837931,-73.853524
J.H.S. 144 Michelangelo,40.863735,-73.83607
P.S./M.S. 175 City Island,40.843873,-73.785219
M.S. 180 Dr. Daniel Hale Williams,40.87302,-73.833776
I.S. 181 Pablo Casals,40.87529,-73.833912
P.S./M.S. 194,40.834782,-73.846632
North Bronx School of Empowerment,40.880873,-73.860904
Bronx Green Middle School,40.862109,-73.864577
Bronx Alliance Middle School,40.884953,-73.840524
Leaders of Tomorrow,40.880873,-73.860904
Cornerstone Academy for Social Action Middle School,40.883025,-73.830366
Pelham Academy of Academics and Community Engagement,40.862109,-73.864577
P.S./M.S. 11X498 - VAN NEST ACADEMY,40.84473,-73.858207
One World Middle School at Edenwald,40.884953,-73.840524
Baychester Middle School,40.884953,-73.840524
Bronx Park Middle School,40.862109,-73.864577
Pelham Gardens Middle School,40.863735,-73.83607
J.H.S. 098 Herman Ridder,40.8359,-73.890458
M.S. 129 Academy for Independent Learning and Leadership,40.845878,-73.886184
E.S.M.T- I.S. 190,40.836575,-73.892817
P.S. 211,40.843546,-73.889755
P.S. 214,40.839565,-73.880358
School of Performing Arts,40.822443,-73.893902
Mott Hall V,40.831416,-73.877785
"I.S. X318 Math, Science & Technology Through Arts",40.843546,-73.889755
Bronx Latin,40.827743,-73.900105
East Bronx Academy for the Future,40.836356,-73.888361
Frederick Douglass Academy V. Middle School,40.848472,-73.888561
Fannie Lou Hamer Middle School,40.831165,-73.887094
Kappa III,40.845878,-73.886184
Accion Academy,40.822443,-73.893902
Emolior Academy,40.839565,-73.880358
M.S. 113 Ronald Edmonds Learning Center,40.688811,-73.971009
Dr. Susan S. McKinney Secondary School of the Arts,40.696324,-73.97578
M.S. 266 - Park Place Community Middle School,40.678983,-73.976497
Satellite East Middle School,40.679097,-73.94684
Dock Street School for STEAM Studies,40.703106,-73.992549
The Urban Assembly Unison School,40.68505,-73.960659
Academy of Arts and Letters,40.690765,-73.971376
